item_name,transaction_type,item_count,date_time
#1,add,2,2024-10-19 11:59:37
ribeye,remove,1,2024-08-31 22:14:21
pork,remove,4,2024-08-31 22:13:21
cholula,remove,1,2024-08-31 22:06:33
avacodo,remove,2,2024-08-31 21:37:36
hot dog,add,4,2024-08-31 21:37:18
cheese curds,add,2,2024-08-31 21:37:11
peameal bacon,remove,2,2024-08-31 21:37:07
ribeye,add,1,2024-08-31 21:37:03
ground beef,add,3,2024-08-31 21:37:00
beef burgers,remove,2,2024-08-31 21:36:49
bacon,add,4,2024-08-31 21:36:42
bacon,add,1,2024-08-31 21:36:39
chicken fingers,remove,2,2024-08-31 21:36:35
bean sprouts,add,2,2024-08-31 21:36:10
cheese sliced br,remove,1,2024-08-31 21:35:53
bean sprouts,remove,1,2024-08-31 21:35:22
kimchi,remove,1,2024-08-31 21:35:14
whip cream,remove,1,2024-08-31 21:35:00
cabbage,remove,1,2024-08-31 21:34:56
tomato,remove,3,2024-08-31 21:34:44
red onions,remove,1,2024-08-31 21:34:39
hot dog,remove,5,2024-08-31 21:34:30
ground beef,remove,4,2024-08-31 21:34:23
cheese curds,remove,5,2024-08-31 21:34:17
bacon,remove,6,2024-08-31 21:34:12
sour cream,remove,2,2024-08-31 21:33:55
water,remove,3,2024-08-31 21:33:50
chocolate,remove,1,2024-08-31 21:33:40
krispy kreme,add,4,2024-08-31 21:33:32
krispy kreme,remove,22,2024-08-31 21:33:31
strawberries,add,20,2024-08-31 21:33:12
strawberries,remove,35,2024-08-31 21:33:08
fries,add,1,2024-08-31 21:32:23
fries,add,11,2024-08-31 21:32:17
fries,add,20,2024-08-31 21:32:11
corn,remove,5,2024-08-31 21:31:53
plumsauce,remove,1,2024-08-31 21:30:49
lemon juice,add,1,2024-08-31 21:30:35
gravy,remove,5,2024-08-31 21:30:10
oil,remove,3,2024-08-31 21:29:59
paper towels,add,1,2024-08-31 21:29:52
mustard,remove,1,2024-08-31 21:28:46
forks,remove,2,2024-08-31 21:28:26
200 savaday,remove,1,2024-08-31 21:27:39
tortilla,remove,1,2024-08-31 21:27:34
napkins,remove,1,2024-08-31 21:27:21
#1,remove,1,2024-08-31 21:27:14
chipotle can,add,3,2024-08-31 16:14:04
cheese curds,add,4,2024-08-31 15:58:19
avacodo,add,3,2024-08-31 15:58:07
lobster,add,8,2024-08-31 15:57:29
cheese curds,remove,4,2024-08-31 15:57:18
cheese curds,add,2,2024-08-31 15:57:16
hot dog,add,4,2024-08-31 15:57:10
ribeye,add,1,2024-08-31 15:56:57
peameal bacon,remove,1,2024-08-31 15:56:46
peameal bacon,add,4,2024-08-31 15:56:44
ground beef,add,3,2024-08-31 15:56:40
haddock fish,add,14,2024-08-31 15:56:34
beef burgers,add,5,2024-08-31 15:56:27
bacon,add,8,2024-08-31 15:56:18
pork,add,4,2024-08-31 15:56:12
apple fritter,add,8,2024-08-31 15:56:05
chicken fingers,add,8,2024-08-31 15:55:57
coconut shred,add,1,2024-08-31 15:43:04
coconut shred,add,1,2024-08-31 15:43:02
chives,add,1,2024-08-31 15:42:55
cilantro,add,2,2024-08-31 15:33:16
shredded lettuce,add,3,2024-08-31 15:33:10
cheese mozzarella,add,4,2024-08-31 15:33:00
bean sprouts,add,2,2024-08-31 15:32:50
cheese sliced br,add,1,2024-08-31 15:32:45
cheese ribbons,add,3,2024-08-31 15:32:30
cheese cotija,add,4,2024-08-31 15:32:21
cream,add,1,2024-08-31 15:32:08
butter,add,1,2024-08-31 15:32:05
shredded cheese,add,1,2024-08-31 15:31:46
dill,add,1,2024-08-31 15:31:36
parsley,add,1,2024-08-31 15:31:33
eggs,add,1,2024-08-31 15:30:34
burger lettuce,add,4,2024-08-31 15:30:29
kimchi,add,5,2024-08-31 15:30:22
whip cream,add,4,2024-08-31 15:30:14
cabbage,add,2,2024-08-31 15:30:09
red cabbage,add,3,2024-08-31 15:30:03
tomato,add,3,2024-08-31 15:29:52
red onions,add,4,2024-08-31 15:29:46
ground beef,add,2,2024-08-31 15:27:25
peameal bacon,add,2,2024-08-31 15:27:19
bacon,add,2,2024-08-31 15:27:13
ribeye,add,1,2024-08-31 15:27:09
hot dog,add,2,2024-08-31 15:27:06
cheese curds,add,4,2024-08-31 15:27:01
water,add,16,2024-08-31 15:26:50
pickles,add,2,2024-08-31 15:26:42
relish,add,2,2024-08-31 15:26:37
sour cream,add,5,2024-08-31 15:26:32
sauerkraut,add,1,2024-08-31 15:26:26
chocolate,add,10,2024-08-31 15:26:20
krispy kreme,add,60,2024-08-31 15:26:10
strawberries,add,3,2024-08-31 15:25:57
